classes,accuracy
airplane+coughing+door_wood_knock,0.9375
airplane+coughing+drinking_sipping,0.75
airplane+coughing+engine,0.9583333333333334
airplane+coughing+fireworks,0.9791666666666666
airplane+coughing+footsteps,0.8958333333333334
airplane+coughing+frog,0.9583333333333334
airplane+coughing+glass_breaking,0.8958333333333334
airplane+coughing+hand_saw,0.8958333333333334
airplane+coughing+helicopter,0.8541666666666666
airplane+coughing+hen,0.9583333333333334
airplane+coughing+insects,0.8333333333333334
airplane+coughing+keyboard_typing,0.8958333333333334
airplane+coughing+laughing,0.9166666666666666
airplane+coughing+mouse_click,0.875
airplane+coughing+pig,0.875
airplane+coughing+pouring_water,0.8333333333333334
airplane+coughing+rain,0.8333333333333334
airplane+coughing+rooster,0.9375
airplane+coughing+sea_waves,0.9166666666666666
airplane+coughing+sheep,0.9166666666666666
airplane+coughing+siren,0.9166666666666666
airplane+coughing+sneezing,0.7708333333333334
airplane+coughing+snoring,0.9791666666666666
airplane+coughing+thunderstorm,0.9583333333333334
airplane+coughing+toilet_flush,0.9583333333333334
airplane+coughing+train,0.875
airplane+coughing+vacuum_cleaner,0.9583333333333334
airplane+coughing+washing_machine,0.875
airplane+coughing+water_drops,0.9166666666666666
airplane+coughing+wind,0.8333333333333334
airplane+cow+crackling_fire,0.9375
airplane+cow+crickets,0.875
airplane+cow+crow,0.8958333333333334
airplane+cow+crying_baby,0.8958333333333334
airplane+cow+dog,0.8958333333333334
airplane+cow+door_wood_creaks,0.7916666666666666
airplane+cow+door_wood_knock,0.9166666666666666
airplane+cow+drinking_sipping,0.875
airplane+cow+engine,0.9375
airplane+cow+fireworks,0.9166666666666666
airplane+cow+footsteps,0.875
airplane+cow+frog,0.875
airplane+cow+glass_breaking,0.9583333333333334
airplane+cow+hand_saw,0.875
airplane+cow+helicopter,0.7708333333333334
airplane+cow+hen,0.8125
airplane+cow+insects,0.75
airplane+cow+keyboard_typing,0.8125
airplane+cow+laughing,0.7916666666666666
airplane+cow+mouse_click,0.9375
airplane+cow+pig,0.7083333333333334
airplane+cow+pouring_water,0.8958333333333334
airplane+cow+rain,0.7916666666666666
airplane+cow+rooster,0.8958333333333334
airplane+cow+sea_waves,0.8333333333333334
